Unnamed: 0,cd_instituic,cd_curso,sexo,ord_ingresso,cd_tip_est_sec,cd_hab_ant,cd_regime,idadeReal,trabalhadorEstudante,cd_inst_hab_ant,estado_civil,cd_cur_hab_ant,Ensino Basico Mae,Ensino Basico Pai,Ensino Secundário Mae,Ensino Secundário Pai,Ensino Superior Mae,Ensino Superior Pai,Ensino Outros Mae,Ensino Outros Pai,pais trabalham,Portugues,CNA,internacional,maiores 23,outros,1geracao,nota10-12,nota12-14,nota14-16,nota16-18,nota18-20,Abandono
227,1,1,1,1,1,1,0,26,0,118,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
228,0,20,0,1,1,1,2,48,1,122,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
229,1,9,1,1,1,1,2,49,1,120,2,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
792,1,1,1,1,1,21,0,36,1,350,2,100,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
793,1,1,1,1,1,1,0,42,1,333,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
794,1,1,1,1,1,1,0,31,1,143,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0
795,1,1,1,1,1,1,0,18,0,300,1,0,1,1,1,0,1,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0
796,1,1,0,1,1,1,0,18,1,121,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
797,1,1,1,1,1,1,0,18,1,308,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
798,1,1,1,1,1,1,0,20,0,119,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
799,1,1,1,1,1,1,0,18,0,187,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
800,1,1,1,1,1,1,0,18,0,110,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
801,1,1,1,1,1,1,0,18,0,120,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
802,1,1,1,1,1,1,0,18,0,59,1,111,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
803,1,1,0,1,1,1,0,18,0,59,1,111,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
804,1,1,0,1,1,26,0,19,0,139,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
805,1,1,1,1,1,1,0,18,0,315,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
806,1,1,1,1,1,1,0,19,1,81,1,0,1,1,1,1,0,0,0,0,3,1,0,0,0,1,1,1,0,0,0,0,0
807,1,1,0,1,2,21,0,35,1,7,1,8,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
808,1,1,1,1,1,31,0,20,0,59,1,135,1,1,0,0,0,0,0,0,3,1,0,0,0,1,1,1,0,0,0,0,0
809,1,1,1,1,1,31,0,21,0,59,1,141,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
810,1,1,1,1,2,1,0,19,0,252,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
